Nome,Depth,i,seed,regex,Melhor_bartoli,Melhor_nosso,Tempo,Tempo_total,Timed_out
aman-aplan,5,25,3857069214,d|x|^k|^t|^r|v|(o)\1.$,14,35,29924422329,44002,false
long-count,5,8,2463075891,0^,0,20,43413327314,36939,false
long-count,5,9,9135874206,^ ,0,20,46925630033,38189,false
aman-aplan,5,26,9125784630,x|oo|^k|^t|v|^r|d,14,35,57076640721,42596,false
long-count,5,10,7095231486,^$,0,20,43766026486,36080,false
aman-aplan,5,27,7914823056,^k|mu|^r|ihhaevf|e[^r]$,14,35,54494442518,47284,false
long-count,5,11,9842301657, $,0,20,47121430423,37611,false
aman-aplan,5,28,1258360497,x|^t|^k|^r|v|d|(o)\1.$,14,35,42149933783,46565,false
long-count,5,12,2196735084,1^,0,20,17233010938,36142,false
aman-aplan,5,29,7965023841,x|^k|oo|ah|v|d|^r|t$,14,35,31059322829,44362,false
long-count,5,13,9067852413,1^,0,20,1532519485,38252,false
long-count,5,14,2405681973, $,0,20,1205667282,34908,false
prime,5,1,4105328976,((xx(x([^]xxx))))\1\1\1\1,9,30,1797219,46455,false
long-count,5,15,2738495106,^ ,0,20,54295633064,36783,false
prime,5,1,6370951248,((x((xxxxx))))\1x\1\1\1,9,30,854445782,44612,false
long-count,5,16,1069782534, $,0,20,1155376969,35799,false
prime,5,2,9431657082,((xx(x(xxxx))))\1\1\1\1,9,30,1202077579,39549,false
long-count,5,17,3018795246,0^,0,20,915825750,37611,false
prime,5,3,1874029365,(x((xx[^]xxxxx)))\1\1\1,9,30,34792524142,42549,false
long-count,5,18,1736058429, $,0,20,1234648376,38518,false
