Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
ranges,5,26,9125784630,[a-f][a-f][^][a-f]$,21,42,539645,-37580,42283,false
glob,5,3,1874029365,^w|^p|[*-a]i|r[h-s]|fa|[cd]$,19,40,230863,-13704,43471,false
ranges,5,27,7914823056,[a-f][a-f][a-f][a-f]$,21,42,81147,-4516,45486,false
glob,5,4,5691784320,[a-e][a-h]r|f|[ -u][op][c-y][c-o][ -r],15,36,324669,-18079,35549,false
ranges,5,28,1258360497,^[a-f][a-e][a-f][a-f],21,42,340044,-23689,44299,false
glob,5,5,8392760514,b[c-i][a-r]|w|e[n-y][a-s][a-m]|[a-k][cde]$,17,38,480380,-25517,33299,false
ranges,5,29,7965023841,[a-f][a-f][a-f][a-f]$,21,42,514861,-38986,45705,false
glob,5,6,4612780539,sl|fa|w|b| [o-y][c-u]|y^aod|[cde]$,14,35,538827,-44940,56815,false
backrefs,5,1,4105328976,[rst][l-t][e-h]|d^yeu|[c-t][a-o][tuv][e-y]|[n-r][a-y]$,16,37,505459,-40674,50878,false
glob,5,7,8261384957,[^l]\*|fa|^b|ao|[n-r]r|f[i-s]m|[a-d]$,14,35,329170,-21298,52440,false
backrefs,5,1,6370951248,^h|[l-t][e-h]|xl|[l-u][a-y]$,13,34,323227,-17845,33002,false
glob,5,8,2463075891,^w|o[c-s]|[n-r][i-s],12,33,78430,-3328,32174,false
backrefs,5,2,9431657082,^a|yl[a-t]|[a-t][e-t][a-o][tuv]|[g-n]$,15,36,123505,-6938,38736,false
glob,5,9,9135874206,b[a-h]r|fa|[op][c-y][c-s][c-r]|e[a-s]$,17,38,191433,-10501,36314,false
backrefs,5,3,1874029365,pi|pu|fu|t[e-t][d-t]|^m|[n-r][a-y]$,17,38,538649,-31892,37518,false
backrefs,5,4,5691784320,[l-t][e-h]|[l-u][a-y]$,12,33,537891,-23142,25673,false
glob,5,10,7095231486,[^]w[m-s]|eni|su|ta|fa|[ -h]\*|b|[cd]$,18,39,451233,-37924,63223,true
backrefs,5,5,8392760514,h[^]k[e-s]t[b-t]e|[h-t][b-p][a-o][r-v]|[tuv][e-h]|[i-l]$,16,37,465532,-33236,49174,false
glob,5,11,9842301657,^[a-e][^ai]|[p-s]r|[kl]e|c$,17,38,200978,-11673,53987,false
backrefs,5,6,4612780539,[m-u][e-h]|[e-h]a|[i-u](b|ra)|k[a-t][a-o][tuv]f|[g-n]$\1,14,35,418839,-33939,58362,false
glob,5,12,2196735084,fa|b|[st][e-y]y|\* |l$,13,34,233475,-10969,35689,false
